,0
9 15,163
5 14 15,153
14 15,95
12 14 15,90
5 12 14 15,82
5 7 17,74
5 17,73
8 15,72
9 12 15,71
4 14 15,67
16 17,67
4 17,63
3 17,62
12 17,61
12 15,59
3 14 15,56
6 15,51
2 15,47
0 15,47
9 15 16 17,40
15,39
1 15,34
15 18,32
13 15,32
0 12 15,31
11 15,28
10 15,26
10 12 15,25
4 12 17,19
2 4 15,19
3 9 15,18
9 12 14 15,17
5 7 12 17,15
14 15 16 17,14
3 15,13
7 17,13
9 14 15,10
5 12 17,10
4 5 14 15,6
9 14 15 16 17,5
7 12 17,4
5 15,4
6 8 15,3
6 9 15,3
17,3
4 15,3
2 11 15,3
4 5 12 17,2
9 16 17,2
5 14,2
8 9 15,2
3 9 15 16 17,2
12 14 17,2
9 17,2
2 14 15,2
9 10 15,1
5 9 12,1
8 14 15,1
3 11 15,1
4 16 17,1
9 15 16,1
12 14 15 16 17,1
5 9 15,1
5,1
9 10 12 15,1
4 9 17,1
9 11 15,1
,1
4 14 15 17,1
9,1
4 5 17,1
4 14 17,1
14 15 16,1
7 12,1
14 15 17,1
7 16 17,1
3 4 17,1
1 16 17,1
15 17,1
7 12 14 17,1
2 4 14 15,1
5 14 15 16,1
2 8 15,1
1 13 15,1
3 10 11 15,1
5 9 12 14 15,1
5 7 12 14 15,1
6 14 15,1
